id	review	sentiment
156061	intermittently pleasing mostly routine effort	2
156062	intermittently pleasing mostly routine effort	2
156063	NOTHING	2
156064	intermittently pleasing mostly routine effort	2
156065	intermittently pleasing mostly routine	2
156066	intermittently pleasing	2
156067	intermittently pleasing	2
156068	intermittently	2
156069	pleasing	3
156070	NOTHING	2
156071	mostly routine	2
156072	mostly	2
156073	routine	2
156074	effort	2
156075	NOTHING	2
156076	kidman really thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world	3
156077	kidman	3
156078	really thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world	3
156079	really thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world	3
156080	really	2
156081	NOTHING	2
156082	really	2
156083	thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world	2
156084	thing	2
156085	NOTHING	2
156086	thing	2
156087	NOTHING	2
156088	thing	2
156089	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world	2
156090	NOTHING	2
156091	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world	2
156092	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies	2
156093	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves	2
156094	worth	2
156095	NOTHING	2
156096	worth	2
156097	watching birthday girl film stage trained jez butterworth lrb mojo rrb serves	2
156098	watching birthday girl film	2
156099	watching	2
156100	birthday girl film	2
156101	NOTHING	2
156102	birthday girl film	2
156103	birthday girl	2
156104	birthday girl	2
156105	birthday	2
156106	girl	2
156107	NOTHING	2
156108	film	2
156109	NOTHING	2
156110	film	2
156111	stage trained jez butterworth lrb mojo rrb serves	2
156112	NOTHING	2
156113	stage trained jez butterworth lrb mojo rrb serves	2
156114	stage trained jez butterworth lrb mojo rrb	2
156115	stage trained jez butterworth	2
156116	stage trained jez butterworth	2
156117	stage trained	2
156118	jez butterworth	2
156119	jez	2
156120	butterworth	2
156121	lrb mojo rrb	2
156122	lrb	2
156123	mojo rrb	2
156124	mojo	2
156125	rrb	2
156126	serves	2
156127	serves	2
156128	yet another example sad decline british comedies	1
156129	NOTHING	2
156130	yet another example sad decline british comedies	1
156131	yet	2
156132	another example sad decline british comedies	3
156133	another example	2
156134	another	2
156135	example	2
156136	sad decline british comedies	2
156137	NOTHING	2
156138	sad decline british comedies	2
156139	sad decline	2
156140	sad decline	2
156141	sad	2
156142	decline	2
156143	british comedies	2
156144	british comedies	2
156145	british	2
156146	comedies	2
156147	post full monty world	2
156148	post full monty world	2
156149	post full monty world	2
156150	post full	2
156151	monty world	2
156152	monty	2
156153	world	2
156154	get rhythm movie becomes heady experience	2
156155	get rhythm	2
156156	NOTHING	2
156157	get rhythm	2
156158	NOTHING	2
156159	get rhythm	2
156160	get	2
156161	rhythm	2
156162	NOTHING	2
156163	rhythm	2
156164	NOTHING	2
156165	rhythm	2
156166	movie becomes heady experience	2
156167	NOTHING	2
156168	movie becomes heady experience	2
156169	movie	2
156170	movie	2
156171	becomes heady experience	2
156172	becomes heady experience	2
156173	becomes	2
156174	heady experience	2
156175	heady experience	2
156176	heady	2
156177	experience	2
156178	kept wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha	3
156179	NOTHING	2
156180	kept wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha	3
156181	kept wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha	3
156182	kept	2
156183	wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha	2
156184	wishing	2
156185	watching documentary wartime navajos accomplished instead specious hollywood hoo ha	2
156186	watching documentary wartime navajos	2
156187	watching documentary wartime navajos	2
156188	watching documentary wartime navajos	2
156189	NOTHING	2
156190	watching documentary wartime navajos	2
156191	documentary wartime navajos	2
156192	documentary	2
156193	documentary	2
156194	wartime navajos	2
156195	NOTHING	2
156196	wartime navajos	2
156197	wartime navajos	2
156198	wartime	2
156199	navajos	2
156200	NOTHING	2
156201	accomplished instead specious hollywood hoo ha	2
156202	NOTHING	2
156203	accomplished instead specious hollywood hoo ha	2
156204	NOTHING	2
156205	accomplished instead specious hollywood hoo ha	2
156206	accomplished	3
156207	instead specious hollywood hoo ha	2
156208	instead	2
156209	specious hollywood hoo ha	2
156210	specious hollywood hoo ha	2
156211	specious	2
156212	NOTHING	2
156213	specious	2
156214	NOTHING	2
156215	specious	2
156216	hollywood hoo ha	2
156217	hollywood	2
156218	hoo ha	2
156219	kinnear n aim sympathy rather delivers performance striking skill depth	2
156220	kinnear	2
156221	n aim sympathy rather delivers performance striking skill depth	1
156222	n aim sympathy rather delivers performance striking skill depth	1
156223	n aim sympathy	2
156224	n aim sympathy	2
156225	n aim sympathy	2
156226	n	2
156227	NOTHING	2
156228	n	2
156229	aim sympathy	2
156230	aim	2
156231	sympathy	2
156232	NOTHING	2
156233	sympathy	2
156234	NOTHING	2
156235	sympathy	2
156236	rather delivers performance striking skill depth	2
156237	rather	2
156238	delivers performance striking skill depth	2
156239	delivers	2
156240	performance striking skill depth	2
156241	performance	2
156242	performance	2
156243	striking skill depth	2
156244	striking skill depth	2
156245	striking	3
156246	skill depth	2
156247	skill	2
156248	skill	2
156249	depth	2
156250	ends well sort frenzied comic moments never click	2
156251	ends well sort frenzied comic moments never click	2
156252	ends well sort	2
156253	ends well sort	2
156254	ends well sort	2
156255	ends well sort	2
156256	ends well	2
156257	ends well	2
156258	ends	2
156259	well	2
156260	sort	2
156261	sort	2
156262	frenzied comic moments never click	2
156263	frenzied comic moments	2
156264	frenzied comic moments	2
156265	frenzied	2
156266	comic moments	2
156267	comic	2
156268	moments	2
156269	never click	2
156270	never	2
156271	click	2
156272	hoot half great way american people see candidate like giving cent stump speech	2
156273	NOTHING	2
156274	hoot half great way american people see candidate like giving cent stump speech	2
156275	hoot half great way american people see candidate like giving cent stump speech	2
156276	hoot half great way american people	2
156277	hoot half great way american people	2
156278	hoot half	2
156279	hoot half	2
156280	hoot half	2
156281	hoot	3
156282	hoot	3
156283	hoot	3
156284	half	2
156285	half	2
156286	great way american people	2
156287	great way	3
156288	great way	3
156289	great	2
156290	way	2
156291	american people	2
156292	american people	2
156293	american people	2
156294	american	2
156295	people	2
156296	see candidate like giving cent stump speech	1
156297	NOTHING	2
156298	see candidate like giving cent stump speech	1
156299	see	2
156300	candidate like giving cent stump speech	1
156301	candidate like giving cent stump speech	1
156302	candidate	2
156303	candidate	2
156304	like giving cent stump speech	2
156305	like giving cent stump speech	2
156306	like	2
156307	giving cent stump speech	2
156308	NOTHING	2
156309	giving cent stump speech	2
156310	NOTHING	2
156311	giving cent stump speech	2
156312	NOTHING	2
156313	NOTHING	2
156314	giving cent stump speech	2
156315	giving	2
156316	cent stump speech	2
156317	cent stump speech	2
156318	NOTHING	2
156319	cent stump speech	2
156320	cent	2
156321	stump speech	2
156322	stump	2
156323	speech	2
156324	weight piece unerring professionalism chilly production fascination embedded lurid topic prove recommendation enough	3
156325	weight piece unerring professionalism chilly production fascination embedded lurid topic	3
156326	weight	2
156327	weight	2
156328	piece unerring professionalism chilly production fascination embedded lurid topic	3
156329	piece unerring professionalism chilly production fascination embedded lurid topic	3
156330	piece	2
156331	piece	2
156332	piece	2
156333	unerring professionalism chilly production fascination embedded lurid topic	3
156334	unerring professionalism chilly production	2
156335	unerring professionalism chilly production	2
156336	unerring professionalism chilly production	2
156337	unerring professionalism	2
156338	unerring professionalism	2
156339	unerring	3
156340	professionalism	2
156341	chilly production	2
156342	chilly production	2
156343	chilly production	2
156344	chilly	2
156345	production	2
156346	fascination embedded lurid topic	2
156347	fascination	3
156348	fascination	3
156349	embedded lurid topic	2
156350	embedded	2
156351	lurid topic	2
156352	lurid topic	2
156353	lurid topic	2
156354	lurid	2
156355	topic	2
156356	prove recommendation enough	2
156357	prove recommendation enough	2
156358	prove recommendation	2
156359	prove	2
156360	recommendation	3
156361	enough	2
156362	film contains good jokes good scenes barely moment carvey saturday night live honed mimicry rises level embarrassment	3
156363	film	2
156364	contains good jokes good scenes barely moment carvey saturday night live honed mimicry rises level embarrassment	3
156365	contains good jokes good scenes barely moment carvey saturday night live honed mimicry rises level embarrassment	3
156366	contains	2
156367	good jokes good scenes barely moment carvey saturday night live honed mimicry rises level embarrassment	2
156368	good jokes good scenes barely moment	2
156369	good jokes good scenes	2
156370	good jokes good scenes	2
156371	good jokes	2
156372	good jokes	2
156373	NOTHING	2
156374	good jokes	2
156375	good	3
156376	jokes	2
156377	good scenes	2
156378	good scenes	2
156379	scenes	2
156380	barely moment	2
156381	barely	2
156382	moment	2
156383	moment	2
156384	carvey saturday night live honed mimicry rises level embarrassment	3
156385	carvey saturday night live honed mimicry rises level embarrassment	3
156386	carvey saturday night live honed mimicry	2
156387	carvey	2
156388	carvey	2
156389	saturday night live honed mimicry	2
156390	saturday	2
156391	night live honed mimicry	2
156392	night	2
156393	live honed mimicry	2
156394	live honed	2
156395	mimicry	2
156396	rises level embarrassment	2
156397	rises	2
156398	level embarrassment	2
156399	NOTHING	2
156400	level embarrassment	2
156401	level	2
156402	level	2
156403	embarrassment	2
156404	embarrassment	2
156405	offbeat sometimes gross surprisingly appealing animated film true meaning holidays	3
156406	offbeat sometimes gross surprisingly appealing animated film true meaning holidays	3
156407	offbeat sometimes gross surprisingly appealing animated film	3
156408	offbeat sometimes gross surprisingly appealing animated film	3
156409	offbeat	1
156410	sometimes gross surprisingly appealing animated film	3
156411	sometimes gross surprisingly appealing animated film	3
156412	sometimes gross surprisingly appealing	2
156413	sometimes gross	2
156414	sometimes gross	2
156415	sometimes	2
156416	gross	2
156417	surprisingly appealing	2
156418	surprisingly	2
156419	appealing	3
156420	animated film	2
156421	animated	2
156422	true meaning holidays	2
156423	true meaning holidays	2
156424	true meaning	2
156425	true meaning	2
156426	true	2
156427	meaning	2
156428	holidays	2
156429	holidays	2
156430	holidays	2
156431	suggests wide ranging effects media manipulation kind reporting done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	3
156432	suggests wide ranging effects media manipulation kind reporting done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	3
156433	suggests wide ranging effects media manipulation kind reporting done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	3
156434	suggests wide ranging effects media manipulation	3
156435	suggests wide ranging effects media manipulation	3
156436	suggests	2
156437	wide ranging effects media manipulation	2
156438	wide ranging effects	2
156439	wide ranging effects	2
156440	wide ranging	2
156441	effects	2
156442	media manipulation	2
156443	media manipulation	2
156444	media	2
156445	manipulation	2
156446	kind reporting done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	3
156447	NOTHING	2
156448	kind reporting done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	3
156449	kind	2
156450	kind	2
156451	reporting done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	1
156452	reporting done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	1
156453	reporting	2
156454	done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	2
156455	done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	2
156456	done supposedly liberal media intimate ultimately tragic heartache maverick individuals like hatfield hicks	2
156457	done supposedly liberal media	2
156458	done supposedly liberal media	2
156459	done	2
156460	supposedly liberal media	2
156461	supposedly liberal media	2
156462	supposedly liberal media	2
156463	supposedly liberal	2
156464	supposedly	2
156465	liberal	2
156466	intimate ultimately tragic heartache maverick individuals like hatfield hicks	2
156467	intimate ultimately tragic heartache maverick individuals like hatfield hicks	2
156468	intimate ultimately tragic heartache	2
156469	intimate ultimately tragic heartache	2
156470	intimate ultimately tragic	2
156471	intimate	2
156472	intimate	2
156473	ultimately tragic	1
156474	ultimately	2
156475	tragic	2
156476	heartache	2
156477	maverick individuals like hatfield hicks	2
156478	maverick individuals like hatfield hicks	2
156479	maverick individuals	2
156480	maverick	2
156481	individuals	2
156482	like hatfield hicks	2
156483	hatfield hicks	2
156484	hatfield	2
156485	hatfield	2
156486	hicks	2
156487	tweedy talks canning stockbroker repairing pool yearn airborne tv sets nude groupies nod liven things	1
156488	tweedy talks canning stockbroker repairing pool	2
156489	tweedy talks canning stockbroker repairing pool	2
156490	tweedy	2
156491	talks canning stockbroker repairing pool	2
156492	talks	2
156493	canning stockbroker repairing pool	2
156494	canning stockbroker repairing pool	2
156495	canning stockbroker	2
156496	canning stockbroker	2
156497	canning	2
156498	stockbroker	2
156499	NOTHING	2
156500	stockbroker	2
156501	repairing pool	2
156502	repairing	2
156503	pool	2
156504	pool	2
156505	yearn airborne tv sets nude groupies nod liven things	2
156506	yearn airborne tv sets nude groupies nod liven things	2
156507	yearn airborne tv sets nude groupies nod liven things	2
156508	yearn airborne tv sets nude groupies nod liven things	2
156509	yearn	2
156510	airborne tv sets nude groupies nod liven things	1
156511	airborne tv sets nude groupies nod liven things	1
156512	airborne tv sets	2
156513	airborne tv sets	2
156514	airborne tv sets	2
156515	NOTHING	2
156516	airborne tv sets	2
156517	airborne	2
156518	tv sets	2
156519	tv	2
156520	sets	2
156521	NOTHING	2
156522	nude groupies nod liven things	2
156523	nude groupies	2
156524	nude	2
156525	groupies	2
156526	nod liven things	2
156527	NOTHING	2
156528	nod liven things	2
156529	nod liven things	2
156530	nod	2
156531	liven things	2
156532	liven things	2
156533	liven things	2
156534	liven	2
156535	things	2
156536	NOTHING	2
156537	failed connections divine secrets ya ya sisterhood nurturing gauzy dithering way	1
156538	failed connections	2
156539	failed connections	2
156540	failed connections	2
156541	failed connections	2
156542	failed	2
156543	connections	2
156544	divine secrets ya ya sisterhood nurturing gauzy dithering way	1
156545	divine secrets ya ya sisterhood nurturing gauzy dithering way	1
156546	divine secrets ya ya sisterhood	2
156547	divine secrets	2
156548	divine	3
156549	secrets	2
156550	ya ya sisterhood	3
156551	ya ya sisterhood	3
156552	ya ya sisterhood	3
156553	ya ya	2
156554	sisterhood	2
156555	nurturing gauzy dithering way	2
156556	nurturing gauzy dithering way	2
156557	nurturing	2
156558	nurturing	2
156559	nurturing	2
156560	gauzy dithering way	2
156561	gauzy dithering way	2
156562	gauzy	2
156563	gauzy	2
