id	review
156061	intermittently pleasing mostly routine effort
156062	intermittently pleasing mostly routine effort
156063	
156064	intermittently pleasing mostly routine effort
156065	intermittently pleasing mostly routine
156066	intermittently pleasing
156067	intermittently pleasing
156068	intermittently
156069	pleasing
156070	
156071	mostly routine
156072	mostly
156073	routine
156074	effort
156075	
156076	kidman really thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world
156077	kidman
156078	really thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world
156079	really thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world
156080	really
156081	
156082	really
156083	thing worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world
156084	thing
156085	
156086	thing
156087	
156088	thing
156089	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world
156090	
156091	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies post full monty world
156092	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves yet another example sad decline british comedies
156093	worth watching birthday girl film stage trained jez butterworth lrb mojo rrb serves
156094	worth
156095	
156096	worth
156097	watching birthday girl film stage trained jez butterworth lrb mojo rrb serves
156098	watching birthday girl film
156099	watching
156100	birthday girl film
156101	
156102	birthday girl film
156103	birthday girl
156104	birthday girl
156105	birthday
156106	girl
156107	
156108	film
156109	
156110	film
156111	stage trained jez butterworth lrb mojo rrb serves
156112	
156113	stage trained jez butterworth lrb mojo rrb serves
156114	stage trained jez butterworth lrb mojo rrb
156115	stage trained jez butterworth
156116	stage trained jez butterworth
156117	stage trained
156118	jez butterworth
156119	jez
156120	butterworth
156121	lrb mojo rrb
156122	lrb
156123	mojo rrb
156124	mojo
156125	rrb
156126	serves
156127	serves
156128	yet another example sad decline british comedies
156129	
156130	yet another example sad decline british comedies
156131	yet
156132	another example sad decline british comedies
156133	another example
156134	another
156135	example
156136	sad decline british comedies
156137	
156138	sad decline british comedies
156139	sad decline
156140	sad decline
156141	sad
156142	decline
156143	british comedies
156144	british comedies
156145	british
156146	comedies
156147	post full monty world
156148	post full monty world
156149	post full monty world
156150	post full
156151	monty world
156152	monty
156153	world
156154	get rhythm movie becomes heady experience
156155	get rhythm
156156	
156157	get rhythm
156158	
156159	get rhythm
156160	get
156161	rhythm
156162	
156163	rhythm
156164	
156165	rhythm
156166	movie becomes heady experience
156167	
156168	movie becomes heady experience
156169	movie
156170	movie
156171	becomes heady experience
156172	becomes heady experience
156173	becomes
156174	heady experience
156175	heady experience
156176	heady
156177	experience
156178	kept wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha
156179	
156180	kept wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha
156181	kept wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha
156182	kept
156183	wishing watching documentary wartime navajos accomplished instead specious hollywood hoo ha
156184	wishing
156185	watching documentary wartime navajos accomplished instead specious hollywood hoo ha
156186	watching documentary wartime navajos
156187	watching documentary wartime navajos
156188	watching documentary wartime navajos
156189	
156190	watching documentary wartime navajos
156191	documentary wartime navajos
156192	documentary
156193	documentary
156194	wartime navajos
156195	
156196	wartime navajos
156197	wartime navajos
156198	wartime
156199	navajos
156200	
156201	accomplished instead specious hollywood hoo ha
156202	
156203	accomplished instead specious hollywood hoo ha
156204	
156205	accomplished instead specious hollywood hoo ha
156206	accomplished
156207	instead specious hollywood hoo ha
156208	instead
156209	specious hollywood hoo ha
156210	specious hollywood hoo ha
156211	specious
156212	
156213	specious
156214	
156215	specious
156216	hollywood hoo ha
156217	hollywood
156218	hoo ha
156219	kinnear n aim sympathy rather delivers performance striking skill depth
156220	kinnear
156221	n aim sympathy rather delivers performance striking skill depth
156222	n aim sympathy rather delivers performance striking skill depth
156223	n aim sympathy
156224	n aim sympathy
156225	n aim sympathy
156226	n
156227	
156228	n
156229	aim sympathy
156230	aim
156231	sympathy
156232	
156233	sympathy
156234	
156235	sympathy
156236	rather delivers performance striking skill depth
156237	rather
156238	delivers performance striking skill depth
156239	delivers
156240	performance striking skill depth
156241	performance
156242	performance
156243	striking skill depth
156244	striking skill depth
156245	striking
156246	skill depth
156247	skill
156248	skill
156249	depth
156250	ends well sort frenzied comic moments never click
156251	ends well sort frenzied comic moments never click
156252	ends well sort
156253	ends well sort
156254	ends well sort
156255	ends well sort
156256	ends well
156257	ends well
156258	ends
156259	well
156260	sort
156261	sort
156262	frenzied comic moments never click
156263	frenzied comic moments
156264	frenzied comic moments
156265	frenzied
156266	comic moments
156267	comic
156268	moments
156269	never click
156270	never
156271	click
156272	hoot half great way american people see candidate like giving cent stump speech
156273	
156274	hoot half great way american people see candidate like giving cent stump speech
156275	hoot half great way american people see candidate like giving cent stump speech
156276	hoot half great way american people
156277	hoot half great way american people
156278	hoot half
156279	hoot half
156280	hoot half
156281	hoot
156282	hoot
156283	hoot
156284	half
156285	half
156286	great way american people
156287	great way
156288	great way
156289	great
156290	way
156291	american people
156292	american people
156293	american people
156294	american
156295	people
156296	see candidate like giving cent stump speech
156297	
156298	see candidate like giving cent stump speech
156299	see
156300	candidate like giving cent stump speech
156301	candidate like giving cent stump speech
156302	candidate
156303	candidate
156304	like giving cent stump speech
156305	like giving cent stump speech
156306	like
156307	giving cent stump speech
156308	
156309	giving cent stump speech
156310	
156311	giving cent stump speech
156312	
156313	
156314	giving cent stump speech
156315	giving
156316	cent stump speech
156317	cent stump speech
156318	
156319	cent stump speech
156320	cent
156321	stump speech
156322	stump
156323	speech
156324	weight piece unerring professionalism chilly production fascination embedded lurid topic prove recommendation enough
156325	weight piece unerring professionalism chilly production fascination embedded lurid topic
